"State","New confirmed cases by infection date","Expected change in daily cases","Effective reproduction no."
"AGUASCALIENTES","43 (0 -- 134)","Unsure","1.9 (0.1 -- 4.1)"
"BAJA CALIFORNIA","76 (0 -- 209)","Unsure","1 (0.3 -- 1.9)"
"BAJA CALIFORNIA SUR","36 (0 -- 78)","Unsure","2.3 (0.1 -- 4.3)"
"CAMPECHE","47 (0 -- 138)","Likely increasing","3.2 (0 -- 6.8)"
"CHIAPAS","22 (0 -- 42)","Likely increasing","1.7 (0.5 -- 2.7)"
"CHIHUAHUA","61 (0 -- 192)","Unsure","1.7 (0.1 -- 3.6)"
"CIUDAD DE MEXICO","90 (13 -- 175)","Decreasing","0.6 (0.4 -- 0.9)"
"COAHUILA","43 (0 -- 125)","Unsure","1.8 (0.1 -- 3.8)"
"DURANGO","35 (0 -- 72)","Likely increasing","3.1 (0.1 -- 6)"
"GUANAJUATO","44 (0 -- 128)","Unsure","1.9 (0.1 -- 4)"
"GUERRERO","38 (0 -- 76)","Likely increasing","1.8 (0.4 -- 3.1)"
"HIDALGO","32 (0 -- 65)","Likely increasing","1.6 (0.5 -- 2.7)"
"JALISCO","56 (0 -- 183)","Unsure","2 (0.1 -- 4.8)"
"MEXICO","55 (5 -- 105)","Decreasing","0.6 (0.3 -- 0.9)"
"MICHOACAN","33 (2 -- 66)","Likely increasing","1.5 (0.5 -- 2.4)"
"MORELOS","37 (2 -- 68)","Likely increasing","1.5 (0.6 -- 2.3)"
"NUEVO LEON","33 (0 -- 70)","Unsure","1.9 (0.2 -- 3.5)"
"PUEBLA","37 (2 -- 70)","Unsure","1.2 (0.5 -- 1.9)"
"QUINTANA ROO","29 (0 -- 57)","Unsure","1 (0.3 -- 1.5)"
"SAN LUIS POTOSI","27 (0 -- 52)","Likely increasing","3.3 (0.5 -- 6.2)"
"SINALOA","52 (0 -- 151)","Unsure","1 (0.1 -- 1.7)"
"SONORA","40 (0 -- 87)","Likely increasing","2.2 (0.3 -- 4.3)"
"TABASCO","48 (4 -- 87)","Unsure","0.9 (0.4 -- 1.3)"
"TAMAULIPAS","41 (3 -- 79)","Likely increasing","1.5 (0.5 -- 2.4)"
"TLAXCALA","32 (0 -- 60)","Likely increasing","1.9 (0.5 -- 3.2)"
"VERACRUZ","50 (0 -- 93)","Unsure","1.2 (0.5 -- 1.9)"
"YUCATAN","42 (3 -- 77)","Likely increasing","1.5 (0.6 -- 2.4)"
"ZACATECAS","68 (0 -- 201)","Likely increasing","4.3 (0 -- 9.8)"
